Timestamp,Posture
2022_07_22_11_50_39,4
2022_07_22_12_10_40,4
2022_07_22_12_20_40,4
2022_07_22_12_30_39,4
2022_07_22_12_40_40,2
2022_07_22_12_50_39,4
2022_07_22_13_00_39,4
2022_07_22_13_10_40,4
2022_07_22_13_20_38,5
2022_07_22_13_30_39,5
2022_07_22_13_40_39,4
2022_07_22_13_50_39,4
2022_07_22_14_00_39,4
2022_07_22_14_10_39,5
2022_07_22_14_20_39,4
2022_07_22_14_30_38,4
2022_07_22_14_40_39,2
2022_07_22_14_50_39,2
2022_07_22_15_00_38,5
2022_07_22_15_10_39,3
2022_07_22_15_20_39,4
2022_07_22_15_30_38,5
2022_07_22_15_40_39,4
2022_07_22_15_50_38,5
2022_07_22_16_00_39,4
2022_07_22_16_10_39,4
2022_07_22_16_20_39,1
2022_07_22_16_30_39,4
2022_07_22_16_40_39,1
2022_07_22_16_50_39,5
2022_07_22_17_00_39,3
2022_07_22_17_10_37,1
2022_07_22_17_20_39,1
2022_07_22_17_30_39,2
2022_07_22_17_40_38,4
2022_07_22_17_50_38,2
2022_07_22_18_00_39,2
2022_07_22_18_10_39,3
2022_07_22_18_20_38,3
2022_07_22_18_30_38,0
2022_07_22_18_40_38,3
2022_07_22_18_50_39,3
2022_07_22_19_00_39,4
2022_07_22_19_10_39,1
2022_07_22_19_20_39,1
2022_07_22_19_30_38,4
2022_07_22_19_40_39,2
2022_07_22_19_50_38,4
2022_07_22_20_01_03,1
2022_07_22_20_10_40,1
2022_07_22_20_20_40,1
2022_07_22_20_30_41,1
2022_07_22_20_40_40,1
2022_07_22_20_50_40,1
2022_07_22_21_00_40,4
2022_07_22_21_10_40,3
2022_07_22_21_20_40,2
2022_07_22_21_30_40,3
2022_07_22_21_40_40,0
2022_07_22_21_50_40,0
2022_07_22_22_00_40,0
2022_07_22_22_10_40,0
2022_07_22_22_20_39,0
2022_07_22_22_30_40,0
2022_07_22_22_40_39,0
2022_07_22_22_50_40,0
2022_07_22_23_00_39,0
2022_07_22_23_10_40,0
